"","cause.x","effect.x","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength"
"2503","Hap. mic","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2504","Int. loo","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2505","Jul. orn","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2506","Lep. att","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2507","Lam. cal","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508","Lep. cun","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509","Lim. dar","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2510","Lep. elo","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2511","Lep. ken","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2512","Lob. lab","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2513","Lam. lem","Pet. pol","present",NA,NA,NA,NA,NA,0.419152474162057,3.125,7.825,2.31148193113178,4.38463225367875,"Fish_feeder","Unicellular_algae_feeder",-0.184008965752532,0.261641716010259,0.470746730086133,0.419152474162057,0.617330728660474,0.747652670635868,"positive"
"2514","Lep. mim","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2515","Lep. pro","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2516","Lam. tan","Pet. pol","present",NA,NA,NA,NA,NA,-0.238100533480864,36.625,7.825,35.7962091532552,4.38463225367875,"Unicellular_algae_feeder","Unicellular_algae_feeder",-1.76643239409164,-0.29177260436995,-0.206697818804733,-0.238100533480864,-0.0874074615186214,0.606969515619364,"negative"
"2517","Lat. M","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2518","M. spp","Pet. pol",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519","Neo. bus","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2520","Neo. cau","Pet. pol",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521","Neo. cyl","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2522","Neo. fas","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2523","Neo. fur","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2524","Neo. mus","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2525","Neo. obs","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2526","Neo. pet","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2527","Neo. pro","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2528","Neo. pul","Pet. pol",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2529","Neo. sav","Pet. pol",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2530","Neo. sex","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2531","Neo. tet","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532","Oph. ven","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2533","Par. spp","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2534","Pse. cur","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2535","Pet. fam","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2536","Pet. fas","Pet. pol",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2537","Per. mic","Pet. pol",NA,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2538","Pet. hor","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2539","Per. str","Pet. pol",NA,NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2540","Pet. tre","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2541","Sim. dia","Pet. pol",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2542","Syn. mul","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2543","Tro. moo","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2544","Tel. tem","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2545","Tel. vit","Pet. pol","present",NA,NA,NA,NA,NA,0.0847929487319516,159.55,7.825,47.1908020155601,4.38463225367875,"Filamentous_algae_feeder","Unicellular_algae_feeder",-0.725869450183441,-0.183377481663302,0.0808125579599137,0.0847929487319516,0.407058203420863,0.85959136214202,"positive"
"2546","Var. moo","Pet. pol","present",NA,NA,NA,NA,NA,-0.229771360728098,129.15,7.825,30.6406383410777,4.38463225367875,"Microfilamentous_algae_feeder","Unicellular_algae_feeder",-0.686237549251224,-0.304299364820559,-0.211651094700356,-0.229771360728098,-0.116563370193777,0.0188906047616991,"negative"
"2547","Xen. pap","Pet. pol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2548","Xen. sim","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2549","Xen. spi","Pet. pol",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2550","Xen. fla","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2551","Xen. bou","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2552","Xen. sp","Pet. pol",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2553","Alt. com","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2554","Aul. dew","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2555","Cya. spp","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2556","Cte. hor","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2557","Cyp. spp","Pet. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558","Cun. lon","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2559","Ere. cya","Pet. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2560","Gna. pfe","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2561","Hap. mic","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2562","Int. loo","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2563","Jul. orn","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2564","Lep. att","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2565","Lam. cal","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2566","Lep. cun","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2567","Lim. dar","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2568","Lep. elo","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2569","Lep. ken","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2570","Lob. lab","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2571","Lam. lem","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2572","Lep. mim","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2573","Lep. pro","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2574","Lam. tan","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2575","Lat. M","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2576","M. spp","Pet. hor",NA,NA,NA,"10未満","埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2577","Neo. bus","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2578","Neo. cau","Pet. hor",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2579","Neo. cyl","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2580","Neo. fas","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2581","Neo. fur","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2582","Neo. mus","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2583","Neo. obs","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2584","Neo. pet","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2585","Neo. pro","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2586","Neo. pul","Pet. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2587","Neo. sav","Pet. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2588","Neo. sex","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2589","Neo. tet","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2590","Oph. ven","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2591","Par. spp","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2592","Pse. cur","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2593","Pet. fam","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2594","Pet. fas","Pet. hor",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2595","Per. mic","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2596","Pet. pol","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2597","Per. str","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2598","Pet. tre","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2599","Sim. dia","Pet. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2600","Syn. mul","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2601","Tro. moo","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2602","Tel. tem","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2603","Tel. vit","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2604","Var. moo","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2605","Xen. pap","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2606","Xen. sim","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2607","Xen. spi","Pet. hor",NA,NA,NA,"10未満","埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2608","Xen. fla","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2609","Xen. bou","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2610","Xen. sp","Pet. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2611","Alt. com","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2612","Aul. dew","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2613","Cya. spp","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2614","Cte. hor","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2615","Cyp. spp","Per. str",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2616","Cun. lon","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2617","Ere. cya","Per. str",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2618","Gna. pfe","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2619","Hap. mic","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2620","Int. loo","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2621","Jul. orn","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2622","Lep. att","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2623","Lam. cal","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2624","Lep. cun","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2625","Lim. dar","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2626","Lep. elo","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2627","Lep. ken","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2628","Lob. lab","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2629","Lam. lem","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2630","Lep. mim","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2631","Lep. pro","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2632","Lam. tan","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2633","Lat. M","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2634","M. spp","Per. str",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2635","Neo. bus","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2636","Neo. cau","Per. str",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2637","Neo. cyl","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2638","Neo. fas","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2639","Neo. fur","Per. str",NA,"present",NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2640","Neo. mus","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2641","Neo. obs","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2642","Neo. pet","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2643","Neo. pro","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2644","Neo. pul","Per. str",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2645","Neo. sav","Per. str",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2646","Neo. sex","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2647","Neo. tet","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2648","Oph. ven","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2649","Par. spp","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2650","Pse. cur","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2651","Pet. fam","Per. str",NA,"present",NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2652","Pet. fas","Per. str",NA,"present",NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2653","Per. mic","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2654","Pet. pol","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2655","Pet. hor","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2656","Pet. tre","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2657","Sim. dia","Per. str",NA,"present",NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2658","Syn. mul","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2659","Tro. moo","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2660","Tel. tem","Per. str",NA,"present",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2661","Tel. vit","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2662","Var. moo","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2663","Xen. pap","Per. str",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2664","Xen. sim","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2665","Xen. spi","Per. str",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2666","Xen. fla","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2667","Xen. bou","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2668","Xen. sp","Per. str",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2669","Alt. com","Pet. tre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2670","Aul. dew","Pet. tre","present",NA,NA,NA,NA,NA,-0.0504646704201175,32.8,24.675,34.4563640803992,8.13472297922418,"Detritus_feeder","Unicellular_algae_feeder",-0.325946818300834,-0.180667058083559,-0.0645572467060707,-0.0504646704201175,0.0231878524116802,0.325539930731192,"negative"
"2671","Cya. spp","Pet. tre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2672","Cte. hor","Pet. tre",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
